mode,theta0,period,steps,cpu_time,avg_dt,max_error,period_error,real_time
analytic,0.01,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.01,1.80546000,2007,0.000212,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.01,1.80546002,20061,0.002044,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.01,1.80546002,200000,0.018213,0.000100,0.000000,0.200607,yes
adaptive,0.01,1.80610126,82,0.000018,0.247650,0.000009,0.199965,yes
analytic,0.02,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.02,1.80546001,2007,0.000166,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.02,1.80546003,20061,0.001661,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.02,1.80546003,200000,0.015585,0.000100,0.000000,0.200607,yes
adaptive,0.02,1.80590998,95,0.000019,0.213141,0.000010,0.200157,yes
analytic,0.03,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.03,1.80546003,2007,0.000150,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.03,1.80546004,20061,0.001482,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.03,1.80546004,200000,0.014334,0.000100,0.000000,0.200607,yes
adaptive,0.03,1.80542968,103,0.000024,0.196086,0.000011,0.200637,yes
analytic,0.04,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.04,1.80546005,2007,0.000138,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.04,1.80546007,20061,0.001420,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.04,1.80546007,200000,0.013644,0.000100,0.000000,0.200607,yes
adaptive,0.04,1.80568328,107,0.000018,0.188997,0.000012,0.200383,yes
analytic,0.05,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.05,1.80546008,2007,0.000134,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.05,1.80546010,20061,0.001345,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.05,1.80546010,200000,0.013448,0.000100,0.000000,0.200607,yes
adaptive,0.05,1.80625427,111,0.000020,0.181887,0.000013,0.199812,yes
analytic,0.06,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.06,1.80546012,2007,0.000135,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.06,1.80546014,20061,0.001351,0.001000,0.000000,0.200607,yes
fixed_1e-04,0.06,1.80546014,200000,0.013447,0.000100,0.000000,0.200607,yes
adaptive,0.06,1.80586225,125,0.000021,0.160909,0.000013,0.200204,yes
analytic,0.07,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.07,1.80546017,2007,0.000134,0.010000,0.000000,0.200607,yes
fixed_1e-03,0.07,1.80546018,20061,0.001362,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.07,1.80546018,200000,0.013428,0.000100,0.000000,0.200606,yes
adaptive,0.07,1.80567713,109,0.000019,0.184674,0.000016,0.200390,yes
analytic,0.08,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.08,1.80546022,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.08,1.80546023,20061,0.001344,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.08,1.80546023,200000,0.013478,0.000100,0.000000,0.200606,yes
adaptive,0.08,1.80556506,115,0.000020,0.174064,0.000014,0.200502,yes
analytic,0.09,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.09,1.80546028,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.09,1.80546029,20061,0.001348,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.09,1.80546029,200000,0.013448,0.000100,0.000000,0.200606,yes
adaptive,0.09,1.80545551,118,0.000020,0.169756,0.000015,0.200611,yes
analytic,0.10,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.10,1.80546034,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.10,1.80546036,20061,0.001367,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.10,1.80546036,200000,0.013430,0.000100,0.000000,0.200606,yes
adaptive,0.10,1.80543902,122,0.000021,0.164401,0.000015,0.200628,yes
analytic,0.11,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.11,1.80546041,2007,0.000134,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.11,1.80546043,20061,0.001348,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.11,1.80546043,200000,0.013452,0.000100,0.000000,0.200606,yes
adaptive,0.11,1.80578521,124,0.000022,0.162460,0.000015,0.200281,yes
analytic,0.12,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.12,1.80546049,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.12,1.80546051,20061,0.001348,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.12,1.80546051,200000,0.013429,0.000100,0.000000,0.200606,yes
adaptive,0.12,1.80584802,126,0.000022,0.159178,0.000016,0.200219,yes
analytic,0.13,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.13,1.80546058,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.13,1.80546059,20061,0.001356,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.13,1.80546059,200000,0.013441,0.000100,0.000000,0.200606,yes
adaptive,0.13,1.80575731,127,0.000022,0.159137,0.000016,0.200309,yes
analytic,0.14,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.14,1.80546067,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.14,1.80546069,20061,0.001358,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.14,1.80546069,200000,0.013446,0.000100,0.000000,0.200606,yes
adaptive,0.14,1.80599470,131,0.000023,0.153471,0.000016,0.200072,yes
analytic,0.15,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.15,1.80546077,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.15,1.80546079,20061,0.001345,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.15,1.80546079,200000,0.013439,0.000100,0.000000,0.200606,yes
adaptive,0.15,1.80552268,128,0.000023,0.157270,0.000017,0.200544,yes
analytic,0.16,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.16,1.80546088,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.16,1.80546089,20061,0.001348,0.001000,0.000000,0.200606,yes
