t,theta,omega,x,y
0.0000000000,0.2000000000,0.0000000000,0.1986693308,-0.9800665778
0.0000000000,0.1999990255,-0.0019489430,0.1986683757,-0.9800667714
0.0000000000,0.1999961021,-0.0038978673,0.1986655106,-0.9800673522
0.0000000000,0.1999912298,-0.0058467541,0.1986607354,-0.9800683202
0.0000000000,0.1999844086,-0.0077955847,0.1986540502,-0.9800696752
0.0000000000,0.1999756387,-0.0097443403,0.1986454550,-0.9800714174
0.0000000000,0.1999649200,-0.0116930023,0.1986349499,-0.9800735466
0.0000000000,0.1999522527,-0.0136415518,0.1986225350,-0.9800760626
0.0000000000,0.1999376369,-0.0155899701,0.1986082104,-0.9800789656
0.0000000000,0.1999210728,-0.0175382386,0.1985919763,-0.9800822552
0.0000000000,0.1999025605,-0.0194863385,0.1985738327,-0.9800859314
0.0000000000,0.1998821002,-0.0214342510,0.1985537798,-0.9800899941
0.0000000000,0.1998596921,-0.0233819574,0.1985318177,-0.9800944431
0.0000000000,0.1998353363,-0.0253294390,0.1985079468,-0.9800992782
0.0000000000,0.1998090333,-0.0272766771,0.1984821671,-0.9801044992
0.0000000000,0.1997807831,-0.0292236529,0.1984544788,-0.9801101060
0.0000000000,0.1997505861,-0.0311703477,0.1984248824,-0.9801160983
0.0000000000,0.1997184425,-0.0331167428,0.1983933778,-0.9801224758
0.0000000000,0.1996843527,-0.0350628195,0.1983599655,-0.9801292385
0.0000000000,0.1996483170,-0.0370085591,0.1983246457,-0.9801363859
0.0000000000,0.1996103357,-0.0389539428,0.1982874187,-0.9801439178
0.0000000000,0.1995704092,-0.0408989520,0.1982482849,-0.9801518339
0.0000000000,0.1995285379,-0.0428435680,0.1982072445,-0.9801601340
0.0000000000,0.1994847222,-0.0447877719,0.1981642979,-0.9801688176
0.0000000000,0.1994389625,-0.0467315453,0.1981194455,-0.9801778845
0.0000000000,0.1993912593,-0.0486748692,0.1980726876,-0.9801873344
0.0000000000,0.1993416129,-0.0506177252,0.1980240246,-0.9801971667
0.0000000000,0.1992900240,-0.0525600944,0.1979734570,-0.9802073813
0.0000000000,0.1992364929,-0.0545019582,0.1979209852,-0.9802179776
0.0000000000,0.1991810202,-0.0564432979,0.1978666096,-0.9802289553
0.0000000000,0.1991236065,-0.0583840948,0.1978103306,-0.9802403140
0.0000000000,0.1990642522,-0.0603243303,0.1977521488,-0.9802520531
0.0000000000,0.1990029580,-0.0622639857,0.1976920647,-0.9802641723
0.0000000000,0.1989397245,-0.0642030424,0.1976300787,-0.9802766711
0.0000000000,0.1988745521,-0.0661414817,0.1975661914,-0.9802895491
0.0000000000,0.1988074417,-0.0680792849,0.1975004033,-0.9803028056
0.0000000000,0.1987383938,-0.0700164334,0.1974327149,-0.9803164403
0.0000000000,0.1986674091,-0.0719529085,0.1973631269,-0.9803304525
0.0000000000,0.1985944882,-0.0738886917,0.1972916399,-0.9803448418
0.0000000000,0.1985196319,-0.0758237643,0.1972182544,-0.9803596076
0.0000000000,0.1984428409,-0.0777581077,0.1971429710,-0.9803747493
0.0000000000,0.1983641160,-0.0796917032,0.1970657904,-0.9803902663
0.0000000000,0.1982834578,-0.0816245323,0.1969867133,-0.9804061581
0.0000000000,0.1982008671,-0.0835565763,0.1969057402,-0.9804224240
0.0000000000,0.1981163449,-0.0854878167,0.1968228720,-0.9804390634
0.0000000000,0.1980298918,-0.0874182349,0.1967381093,-0.9804560757
0.0000000000,0.1979415087,-0.0893478122,0.1966514528,-0.9804734602
0.0000000000,0.1978511965,-0.0912765302,0.1965629032,-0.9804912162
0.0000000000,0.1977589559,-0.0932043702,0.1964724614,-0.9805093431
0.0000000000,0.1976647880,-0.0951313137,0.1963801280,-0.9805278402
0.0000000000,0.1975686936,-0.0970573421,0.1962859038,-0.9805467067
0.0000000000,0.1974706736,-0.0989824369,0.1961897897,-0.9805659419
0.0000000000,0.1973707290,-0.1009065796,0.1960917865,-0.9805855451
0.0000000000,0.1972688608,-0.1028297516,0.1959918949,-0.9806055155
0.0000000000,0.1971650699,-0.1047519344,0.1958901159,-0.9806258524
0.0000000000,0.1970593573,-0.1066731095,0.1957864503,-0.9806465550
0.0000000000,0.1969517240,-0.1085932584,0.1956808990,-0.9806676225
0.0000000000,0.1968421711,-0.1105123626,0.1955734628,-0.9806890540
0.0000000000,0.1967306996,-0.1124304036,0.1954641428,-0.9807108488
0.0000000000,0.1966173107,-0.1143473629,0.1953529397,-0.9807330059
0.0000000000,0.1965020053,-0.1162632221,0.1952398546,-0.9807555247
0.0000000000,0.1963847846,-0.1181779627,0.1951248884,-0.9807784041
0.0000000000,0.1962656497,-0.1200915663,0.1950080421,-0.9808016433
0.0000000000,0.1961446018,-0.1220040143,0.1948893168,-0.9808252414
0.0000000000,0.1960216421,-0.1239152885,0.1947687133,-0.9808491976
0.0000000000,0.1958967717,-0.1258253704,0.1946462327,-0.9808735108
0.0000000000,0.1957699917,-0.1277342415,0.1945218761,-0.9808981801
0.0000000000,0.1956413036,-0.1296418834,0.1943956445,-0.9809232046
0.0000000000,0.1955107084,-0.1315482779,0.1942675390,-0.9809485834
0.0000000000,0.1953782074,-0.1334534064,0.1941375606,-0.9809743154
0.0000000000,0.1952438020,-0.1353572507,0.1940057106,-0.9810003997
0.0000000000,0.1951074934,-0.1372597923,0.1938719900,-0.9810268353
0.0000000000,0.1949692829,-0.1391610130,0.1937363999,-0.9810536210
0.0000000000,0.1948291718,-0.1410608944,0.1935989415,-0.9810807560
0.0000000000,0.1946871615,-0.1429594182,0.1934596160,-0.9811082392
0.0000000000,0.1945432534,-0.1448565660,0.1933184246,-0.9811360694
0.0000000000,0.1943974489,-0.1467523196,0.1931753684,-0.9811642457
0.0000000000,0.1942497493,-0.1486466606,0.1930304488,-0.9811927669
0.0000000000,0.1941001560,-0.1505395709,0.1928836668,-0.9812216320
0.0000000000,0.1939486706,-0.1524310321,0.1927350238,-0.9812508398
0.0000000000,0.1937952944,-0.1543210260,0.1925845211,-0.9812803892
0.0000000000,0.1936400290,-0.1562095343,0.1924321598,-0.9813102791
0.0000000000,0.1934828759,-0.1580965389,0.1922779415,-0.9813405083
0.0000000000,0.1933238365,-0.1599820214,0.1921218672,-0.9813710757
0.0000000000,0.1931629123,-0.1618659638,0.1919639384,-0.9814019800
0.0000000000,0.1930001051,-0.1637483478,0.1918041565,-0.9814332201
0.0000000000,0.1928354162,-0.1656291553,0.1916425228,-0.9814647948
0.0000000000,0.1926688473,-0.1675083681,0.1914790386,-0.9814967029
0.0000000000,0.1925004000,-0.1693859680,0.1913137054,-0.9815289431
0.0000000000,0.1923300759,-0.1712619369,0.1911465246,-0.9815615142
0.0000000000,0.1921578767,-0.1731362568,0.1909774976,-0.9815944149
0.0000000000,0.1919838039,-0.1750089094,0.1908066259,-0.9816276440
0.0000000000,0.1918078594,-0.1768798768,0.1906339110,-0.9816612002
0.0000000000,0.1916300447,-0.1787491407,0.1904593542,-0.9816950822
0.0000000000,0.1914503617,-0.1806166833,0.1902829572,-0.9817292887
0.0000000000,0.1912688120,-0.1824824863,0.1901047213,-0.9817638183
0.0000000000,0.1910853973,-0.1843465319,0.1899246483,-0.9817986698
0.0000000000,0.1909001195,-0.1862088019,0.1897427395,-0.9818338418
